ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(Â°C),Water Temp(Â°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
612895885,Photo,Wood Duck,Aix sponsa,,David Richman,2023-12-31,2023.0,12.0,31.0,930.0,United States,US-WA-033,Washington,King,Union Bay Natural Area/Montlake Fill,47.65424,-122.29137,,,Unspecified,,,,,,,,,S157651049,,,,,Male with two American Coots on stump in water.,Aix sponsa,wooduc,Species,433.0,,0.0,0.0,,3888.0,5184.0
612890765,Photo,American Robin,Turdus migratorius,,James Tornetta,2023-12-31,2023.0,12.0,31.0,922.0,United States,US-PA-091,Pennsylvania,Montgomery,Rolling Hill Park,40.0400197,-75.2672081,,,Unspecified,,,,,,,,,S157610688,,,,,,Turdus migratorius,amerob,Species,28096.0,,4.33,6.0,,1143.0,1713.0
173723891,Photo,Red-tailed Hawk,Buteo jamaicensis,,Kevin Williams,2019-08-23,2019.0,8.0,23.0,924.0,United States,US-CO-005,Colorado,Arapahoe,South Platte Park,39.5800825,-105.0324478,,,Unspecified,,,,,,,,,S59200796,,,,,,Buteo jamaicensis,rethaw,Species,8312.0,,5.0,2.0,,3888.0,5184.0
520043241,Photo,Snowy Owl,Bubo scandiacus,,Linda Curtis,2023-01-03,2023.0,1.0,3.0,1153.0,Canada,CA-MB-TE,Manitoba,Whitehorse Plains,"Highway 3, Macdonald CA-MB 49.67254, -97.44396",49.67254,-97.443962,,,Unspecified,,,,,,,,,S125331482,,,,,,Bubo scandiacus,snoowl1,Species,8704.0,,3.5,2.0,,3419.0,3387.0
514992961,Photo,Snowy Owl,Bubo scandiacus,,Steven McClellan,2022-12-20,2022.0,12.0,20.0,1333.0,Canada,CA-ON-TO,Ontario,Toronto,Toronto--Colonel Samuel Smith Park,43.5910609,-79.5112485,,,Unspecified,,,,,,,,,S124324942,,,,,,Bubo scandiacus,snoowl1,Species,8704.0,,0.0,0.0,,1490.0,2449.0
614504192,Photo,Wood Duck,Aix sponsa,Anas platyrhynchos -- Mallard,J Baker,2024-02-06,2024.0,2.0,6.0,1236.0,United States,US-UT-011,Utah,Davis,Layton Commons Park,41.0667336,-111.9616699,Adult Female â 1; Adult Male â 4,,Unspecified,,,,,,,,,S160804898,,,,,,Aix sponsa,wooduc,Species,433.0,,3.0,1.0,Habitat,3456.0,4608.0
615395221,Photo,American Robin,Turdus migratorius,,Steven McClellan,2024-02-27,2024.0,2.0,27.0,1040.0,Canada,CA-ON-TO,Ontario,Toronto,Carlton Park,43.6663675,-79.4553006,,,Unspecified,,,,,,,,,S163099420,,,,,,Turdus migratorius,amerob,Species,28096.0,,0.0,0.0,,2536.0,3670.0
551648441,Photo,Common Myna,Acridotheres tristis,,Alex Lamoreaux,2023-03-29,2023.0,3.0,29.0,1116.0,United States,US-HI-003,Hawaii,Honolulu,Kualoa Regional Park,21.5141322,-157.8372717,Adult â 1,Flying,Unspecified,,,,,,,,,S132161174,,,,,,Acridotheres tristis,commyn,Species,27402.0,,3.0,2.0,,2593.0,3889.0
612487723,Photo,Glossy Ibis,Plegadis falcinellus,,Delfin Gonzalez,2018-08-19,2018.0,8.0,19.0,800.0,Spain,ES-MD,"Madrid, Comunidad de",,Sureste PNat--Los Albardales,40.2199552,-3.5635718,,,Unspecified,,,,,,,,,S156803646,,,,,Once individuos se posan en la zona encharcada de Los Albardales.,Plegadis falcinellus,gloibi,Species,7551.0,,5.0,1.0,,2710.0,4065.0
524574671,Photo,Long-eared Owl,Asio otus,,Jonathan Irons,,,,,,United States,US-MD-035,Maryland,Queen Anne's,,,,,,Unspecified,,,,,,,,,,,,,,,Asio otus,loeowl,Species,9045.0,,1.0,2.0,,1175.0,1762.0
